id,type,topic,difficulty,stem,choices,correct_answer,explanation,tags,source_reference,created_by,created_at,reviewer,reviewer_notes
Q161,MCQ,Visual inspection,2,Visual inspection can most effectively detect:,"[""Internal porosity"", ""Surface cracks, undercut, overlap, and dimensional issues"", ""Phase transformations"", ""Material segregation""]",B,Visual inspection excels at finding surface-breaking defects and dimensional problems.,,API 1104 21st Edition,benellis09,2026-09-03,,
Q162,MCQ,Visual inspection,2,Why should visual inspection be performed before NDT methods?,"[""It is more expensive"", ""It can identify obvious defects and guide further testing"", ""NDT methods are unreliable"", ""API standards require it""]",B,Visual inspection is quick and cost-effective for screening obvious defects before more detailed NDT.,,API 1104 21st Edition,benellis09,2026-09-03,,
Q163,MCQ,Metallurgy,2,How does rapid cooling affect steel microstructure?,"[""Creates austenite"", ""Forms martensite with high hardness and brittleness"", ""Produces pearlite"", ""Increases ductility""]",B,"Rapid cooling suppresses diffusion, resulting in martensite formation with high hardness but reduced toughness.",,API 1104 21st Edition,benellis09,2026-09-03,,
Q164,MCQ,Metallurgy,2,What microstructure forms when steel cools slowly from austenite?,"[""Martensite"", ""Pearlite with good ductility"", ""Retained austenite"", ""Ferrite only""]",B,"Slow cooling allows diffusion, producing pearlite with balanced hardness and ductility.",,API 1104 21st Edition,benellis09,2026-09-03,,
Q165,MCQ,Metallurgy,2,The heat-affected zone (HAZ) of a weld experiences:,"[""Uniform temperature throughout"", ""Variable temperature gradients causing microstructural changes"", ""No metallurgical changes"", ""Only surface oxidation""]",B,The HAZ experiences a thermal cycle that produces various microstructures depending on peak temperature and cooling rate.,,API 1104 21st Edition,benellis09,2026-09-03,,
Q166,MCQ,Weld discontinuities,2,Surface cracks in welds are best detected by:,"[""Ultrasonic testing"", ""Visual inspection or dye penetrant testing"", ""Radiography"", ""Magnetic particle testing""]",B,Surface cracks are surface-breaking defects best found by visual inspection or penetrant methods.,,API 1104 21st Edition,benellis09,2026-09-03,,
Q167,MCQ,Weld discontinuities,2,Why do hydrogen-assisted delayed cracks typically form hours after welding?,"[""Arc is still active"", ""Hydrogen diffuses through cooling weld and HAZ causing embrittlement"", ""Steel oxidizes slowly"", ""Residual stress increases over time""]",B,"Hydrogen takes time to diffuse into the HAZ; combined with high hardness and residual stress, cracking is delayed.",,API 1104 21st Edition,benellis09,2026-09-03,,
Q168,MCQ,Weld discontinuities,2,Corrosion fatigue can initiate from:,"[""Smooth welded surface"", ""Corrosion pits acting as stress concentrations"", ""Paint adhesion loss"", ""Color changes""]",B,Corrosion pits create stress concentration points where fatigue cracks initiate under cyclic loading.,,API 1104 21st Edition,benellis09,2026-09-03,,
Q169,MCQ,Visual inspection,2,What is the primary purpose of visual inspection in welding?,"[""To determine material composition"", ""To detect surface and near-surface defects"", ""To measure weld hardness"", ""To check paint adhesion""]",B,"Visual inspection is the first line of quality control, identifying surface discontinuities and dimensional deviations.",,API 1104 21st Edition,benellis09,2026-09-03,,
Q170,MCQ,Visual inspection,2,Visual inspection can most effectively detect:,"[""Internal porosity"", ""Surface cracks, undercut, overlap, and dimensional issues"", ""Phase transformations"", ""Material segregation""]",B,Visual inspection excels at finding surface-breaking defects and dimensional problems.,,API 1104 21st Edition,benellis09,2026-09-03,,
Q171,MCQ,Visual inspection,2,Why should visual inspection be performed before NDT methods?,"[""It is more expensive"", ""It can identify obvious defects and guide further testing"", ""NDT methods are unreliable"", ""API standards require it""]",B,Visual inspection is quick and cost-effective for screening obvious defects before more detailed NDT.,,API 1104 21st Edition,benellis09,2026-09-03,,
Q172,MCQ,Metallurgy,2,How does rapid cooling affect steel microstructure?,"[""Creates austenite"", ""Forms martensite with high hardness and brittleness"", ""Produces pearlite"", ""Increases ductility""]",B,"Rapid cooling suppresses diffusion, resulting in martensite formation with high hardness but reduced toughness.",,API 1104 21st Edition,benellis09,2026-09-03,,
Q173,MCQ,Metallurgy,2,What microstructure forms when steel cools slowly from austenite?,"[""Martensite"", ""Pearlite with good ductility"", ""Retained austenite"", ""Ferrite only""]",B,"Slow cooling allows diffusion, producing pearlite with balanced hardness and ductility.",,API 1104 21st Edition,benellis09,2026-09-03,,
Q174,MCQ,Metallurgy,2,The heat-affected zone (HAZ) of a weld experiences:,"[""Uniform temperature throughout"", ""Variable temperature gradients causing microstructural changes"", ""No metallurgical changes"", ""Only surface oxidation""]",B,The HAZ experiences a thermal cycle that produces various microstructures depending on peak temperature and cooling rate.,,API 1104 21st Edition,benellis09,2026-09-03,,
Q175,MCQ,Weld discontinuities,2,Surface cracks in welds are best detected by:,"[""Ultrasonic testing"", ""Visual inspection or dye penetrant testing"", ""Radiography"", ""Magnetic particle testing""]",B,Surface cracks are surface-breaking defects best found by visual inspection or penetrant methods.,,API 1104 21st Edition,benellis09,2026-09-03,,
Q176,MCQ,Weld discontinuities,2,Why do hydrogen-assisted delayed cracks typically form hours after welding?,"[""Arc is still active"", ""Hydrogen diffuses through cooling weld and HAZ causing embrittlement"", ""Steel oxidizes slowly"", ""Residual stress increases over time""]",B,"Hydrogen takes time to diffuse into the HAZ; combined with high hardness and residual stress, cracking is delayed.",,API 1104 21st Edition,benellis09,2026-09-03,,
Q177,MCQ,Weld discontinuities,2,Corrosion fatigue can initiate from:,"[""Smooth welded surface"", ""Corrosion pits acting as stress concentrations"", ""Paint adhesion loss"", ""Color changes""]",B,Corrosion pits create stress concentration points where fatigue cracks initiate under cyclic loading.,,API 1104 21st Edition,benellis09,2026-09-03,,
Q178,MCQ,Visual inspection,2,What is the primary purpose of visual inspection in welding?,"[""To determine material composition"", ""To detect surface and near-surface defects"", ""To measure weld hardness"", ""To check paint adhesion""]",B,"Visual inspection is the first line of quality control, identifying surface discontinuities and dimensional deviations.",,API 1104 21st Edition,benellis09,2026-09-03,,
Q179,MCQ,Visual inspection,2,Visual inspection can most effectively detect:,"[""Internal porosity"", ""Surface cracks, undercut, overlap, and dimensional issues"", ""Phase transformations"", ""Material segregation""]",B,Visual inspection excels at finding surface-breaking defects and dimensional problems.,,API 1104 21st Edition,benellis09,2026-09-03,,
Q180,MCQ,Visual inspection,2,Why should visual inspection be performed before NDT methods?,"[""It is more expensive"", ""It can identify obvious defects and guide further testing"", ""NDT methods are unreliable"", ""API standards require it""]",B,Visual inspection is quick and cost-effective for screening obvious defects before more detailed NDT.,,API 1104 21st Edition,benellis09,2026-09-03,,
Q181,MCQ,Metallurgy,2,How does rapid cooling affect steel microstructure?,"[""Creates austenite"", ""Forms martensite with high hardness and brittleness"", ""Produces pearlite"", ""Increases ductility""]",B,"Rapid cooling suppresses diffusion, resulting in martensite formation with high hardness but reduced toughness.",,API 1104 21st Edition,benellis09,2026-09-03,,
Q182,MCQ,Metallurgy,2,What microstructure forms when steel cools slowly from austenite?,"[""Martensite"", ""Pearlite with good ductility"", ""Retained austenite"", ""Ferrite only""]",B,"Slow cooling allows diffusion, producing pearlite with balanced hardness and ductility.",,API 1104 21st Edition,benellis09,2026-09-03,,
Q183,MCQ,Metallurgy,2,The heat-affected zone (HAZ) of a weld experiences:,"[""Uniform temperature throughout"", ""Variable temperature gradients causing microstructural changes"", ""No metallurgical changes"", ""Only surface oxidation""]",B,The HAZ experiences a thermal cycle that produces various microstructures depending on peak temperature and cooling rate.,,API 1104 21st Edition,benellis09,2026-09-03,,
Q184,MCQ,Weld discontinuities,2,Surface cracks in welds are best detected by:,"[""Ultrasonic testing"", ""Visual inspection or dye penetrant testing"", ""Radiography"", ""Magnetic particle testing""]",B,Surface cracks are surface-breaking defects best found by visual inspection or penetrant methods.,,API 1104 21st Edition,benellis09,2026-09-03,,
Q185,MCQ,Weld discontinuities,2,Why do hydrogen-assisted delayed cracks typically form hours after welding?,"[""Arc is still active"", ""Hydrogen diffuses through cooling weld and HAZ causing embrittlement"", ""Steel oxidizes slowly"", ""Residual stress increases over time""]",B,"Hydrogen takes time to diffuse into the HAZ; combined with high hardness and residual stress, cracking is delayed.",,API 1104 21st Edition,benellis09,2026-09-03,,
Q186,MCQ,Weld discontinuities,2,Corrosion fatigue can initiate from:,"[""Smooth welded surface"", ""Corrosion pits acting as stress concentrations"", ""Paint adhesion loss"", ""Color changes""]",B,Corrosion pits create stress concentration points where fatigue cracks initiate under cyclic loading.,,API 1104 21st Edition,benellis09,2026-09-03,,
Q187,MCQ,Visual inspection,2,What is the primary purpose of visual inspection in welding?,"[""To determine material composition"", ""To detect surface and near-surface defects"", ""To measure weld hardness"", ""To check paint adhesion""]",B,"Visual inspection is the first line of quality control, identifying surface discontinuities and dimensional deviations.",,API 1104 21st Edition,benellis09,2026-09-03,,
