id,type,topic,difficulty,stem,choices,correct_answer,explanation,tags,source_reference,created_by,created_at,reviewer,reviewer_notes
Q001,MCQ,Weld discontinuities,2,Which discontinuity is characterized by incomplete fusion between weld passes?,"[""Slag inclusion"", ""Lack of fusion"", ""Porosity"", ""Undercut""]",B,Lack of fusion occurs when weld metal fails to fuse completely with parent metal or previous passes.,,API 1104 21st Edition,benellis09,2026-09-03,,
Q002,MCQ,Weld discontinuities,2,What is the primary characteristic that distinguishes lack of fusion from other defects?,"[""Spherical shape"", ""Incomplete metallurgical bonding"", ""Surface location"", ""Trapping of flux""]",B,"Lack of fusion is defined as incomplete metallurgical bonding, distinct from porosity or slag.",,API 1104 21st Edition,benellis09,2026-09-03,,
Q003,MCQ,Weld discontinuities,3,Incomplete fusion between weld passes is most likely caused by:,"[""Excessive heat input"", ""Inadequate arc temperature or poor weld angle"", ""Too much filler metal"", ""High travel speed""]",B,"Lack of fusion results from insufficient arc temperature, poor penetration, or incorrect torch angle.",,API 1104 21st Edition,benellis09,2026-09-03,,
Q004,MCQ,Weld discontinuities,2,Which of the following best describes lack of fusion?,"[""Small gas pockets in weld"", ""Unfused area between weld and base metal"", ""Brittle microstructure formation"", ""Surface roughness""]",B,"Lack of fusion is the failure of weld metal to fuse with base metal or previous passes, creating an unbonded surface.",,API 1104 21st Edition,benellis09,2026-09-03,,
Q005,MCQ,Weld discontinuities,3,How does lack of fusion typically appear on a radiograph?,"[""Round bright spots"", ""Linear indications with sharp edges"", ""Random scattered marks"", ""Uniform gray areas""]",B,Lack of fusion appears as linear discontinuities with well-defined edges on radiographs.,,API 1104 21st Edition,benellis09,2026-09-03,,
Q006,MCQ,Weld discontinuities,2,Slag inclusion is best defined as:,"[""Weld metal extending beyond joint"", ""Flux particles trapped between passes"", ""Gas bubbles in solidified weld"", ""Metal splatter on surface""]",B,Slag inclusion is non-metallic material (flux residue) entrapped within or between weld beads.,,API 1104 21st Edition,benellis09,2026-09-03,,
Q007,MCQ,Weld discontinuities,2,Which NDT method is most effective for detecting slag inclusions?,"[""Visual inspection"", ""Ultrasonic testing"", ""Dye penetrant"", ""Hardness testing""]",B,Ultrasonic testing can detect internal slag inclusions through sound wave reflection.,,API 1104 21st Edition,benellis09,2026-09-03,,
Q008,MCQ,Weld discontinuities,3,Why are slag inclusions more dangerous at the weld root than on the surface?,"[""They rust faster"", ""They cause stress concentration in high-stress regions"", ""They are larger at root"", ""They affect appearance""]",B,"Root inclusions create stress concentrations in areas already under maximum stress, leading to premature failure.",,API 1104 21st Edition,benellis09,2026-09-03,,
Q009,MCQ,Weld discontinuities,2,Porosity in welds is primarily caused by:,"[""Slow cooling rate"", ""Entrapped gas during solidification"", ""High preheat temperature"", ""Excess filler metal""]",B,"Porosity results from gas (hydrogen, nitrogen, oxygen) trapped in the weld during solidification.",,API 1104 21st Edition,benellis09,2026-09-03,,
Q010,MCQ,Weld discontinuities,2,How can hydrogen porosity be minimized in welding?,"[""Increase travel speed"", ""Use low preheat"", ""Remove moisture and use low hydrogen processes"", ""Increase arc length""]",C,Hydrogen porosity is reduced by eliminating moisture and using processes like FCAW or low-hydrogen SMAW.,,API 1104 21st Edition,benellis09,2026-09-03,,
Q011,MCQ,Weld discontinuities,3,Which type of porosity forms as weld metal solidifies from edges to center?,"[""Subsurface porosity"", ""Piping porosity at weld center"", ""Scattered porosity"", ""Surface porosity only""]",B,"As weld cools from edges inward, gas is pushed toward the center, creating piping porosity.",,API 1104 21st Edition,benellis09,2026-09-03,,
